State,Bill Number,CCNegative,NegorPos,# of Sponsors,% Republican Party,PartyScore,Committee Intro,YearIntro,Date Introduced,Bill Title,Disposition,Date of Furthest Progression,"Progress (1, 2, 2, 3)",Open States Link,Negative,Adoption or Enabling,Alignment,Appropriation,Legislative Approbation,Legislative Disapprobation,Review,Revocation,Other,A: Accountability Systems,A: Assessment,A: Charter and Private Schools,A: Career Technical Education,A: College- and Career-Readiness,A: Curriculum (Instructional Materials),A: Early Childhood Education,A: Educ Evaluations,A: Educ Prep Program,A: Educ Prof Development,A: English Language Learners,A: Higher Education,A: HS Grad Requirements,A: Innovation Zones,A: Instruction,A: Juvenile Court Schools,A: K-3 Reading Proficiency,A: Online Course Offerings,A: School Accreditation / Performance Rating System,A: Students w/ Cognitive Disabilities,A: Supplemental Educational Services,A: Technological Infrastructure,,,,,
Hawaii,HI S 1282,0,Positive,1,0,-1,,2011,1/26/11,School Testing,Enacted,6/21/11,3,http://openstates.org/hi/bills/2011%20Regular%20Session/SB1282/,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Hawaii,HI S 1284,0,Positive,1,0,-1,,2011,1/26/11,Students with Disabilities,Enacted,6/16/11,3,http://openstates.org/hi/bills/2011%20Regular%20Session/SB1284/,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Washington,WA S 5475,0,Positive,1,0,-1,,2011,1/26/11,Education Funding,Pending - Carryover,2/16/11,2,http://openstates.org/wa/bills/2011-2012/SB5475/,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
California,CA SB 140,0,Positive,1,0,-1,,2011,1/31/11,Instructional Materials,Enacted,10/8/11,3,http://openstates.org/ca/bills/20112012/SB140/,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Washington,WA H 1710,0,Positive,18,0.27778,-0.44444,,2011,1/31/11,Career and Technical Training,Enacted,5/5/11,3,http://openstates.org/wa/bills/2011-2012/HB1710/,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
California,CA A 224,0,Positive,1,0,-1,,2011,2/2/11,School Accountability: Academic Performance Index,Failed,6/1/11,2,http://openstates.org/ca/bills/20112012/AB224/,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
California,CA AB 250,0,Positive,1,0,-1,,2011,2/3/11,Instructional Materials: Pupil Assessment,Enacted,10/8/11,3,http://openstates.org/ca/bills/20112012/AB250/,,,1,,,,,,,,1,,,,1,,,,1,,,,,1,,,,,,,,,,,,
Oklahoma,OK S 376,0,Positive,1,0,-1,,2011,2/7/11,Teacher Professional Development,Pending - Carryover,,1,http://openstates.org/ok/bills/2011-2012/SB376/,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
California,CA SB 257,0,Positive,1,0,-1,,2011,2/10/11,Certificated Employees: Evaluation and Assessment,Failed,6/1/11,2,http://openstates.org/ca/bills/20112012/SB257/,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
California,CA S 257,0,Positive,1,0,-1,,2011,2/10/11,Certificated Employees: Evaluation and Assessment,Failed,6/1/11,2,http://openstates.org/ca/bills/20112012/SB257/,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
